Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Difference,Difference,Difference,Difference,Difference,Difference
R11,ERJ-3EKF4701V,TopLayer,RESC1608X55X30NL15T15,102.2250,27.8500,90,"Precision Thick Film Chip Resistor, 4.7 KOhm, +/- 1%, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",0.03783665378793352,0.03783665378793352,0.03783665378793352,0.03783665378793352,0.03783665378793352,0.03783665378793352
R126,1 kOhms,TopLayer,RES_0603_1608,57.7500,18.8610,0,RES SMD 1K OHM 1% 1/10W 0603,0.04828287264089103,0.04828287264089103,0.04828287264089103,0.04828287264089103,0.04828287264089103,0.04828287264089103
R10,10k_603,TopLayer,RES_0603_1608,12.1080,112.2190,180,RES SMD 10K OHM 1% 1/8W 0603,0.14219325073971242,0.14219325073971242,0.14219325073971242,0.14219325073971242,0.14219325073971242,0.14219325073971242
R124,1 kOhms,TopLayer,RES_0603_1608,62.1030,23.5970,90,RES SMD 1K OHM 1% 1/10W 0603,0.158276193267875,0.158276193267875,0.158276193267875,0.158276193267875,0.158276193267875,0.158276193267875
R122,1 kOhms,TopLayer,RES_0603_1608,63.6270,27.7880,0,RES SMD 1K OHM 1% 1/10W 0603,0.057033700232339286,0.057033700232339286,0.057033700232339286,0.057033700232339286,0.057033700232339286,0.057033700232339286
R121,22 Ohms,TopLayer,RES_0603_1608,75.4500,26.1521,0,RES 22 OHM 1% 1/10W 0603,0.07380749690047325,0.07380749690047325,0.07380749690047325,0.07380749690047325,0.07380749690047325,0.07380749690047325
R120,22 Ohms,TopLayer,RES_0603_1608,75.4500,24.5000,0,RES 22 OHM 1% 1/10W 0603,0.08554573303822485,0.08554573303822485,0.08554573303822485,0.08554573303822485,0.08554573303822485,0.08554573303822485
R119,120 Ohms,TopLayer,RES_0603_1608,81.1250,22.2500,90,RES 120 OHM 1% 1/10W 0603,0.16462128737770862,0.16462128737770862,0.16462128737770862,0.16462128737770862,0.16462128737770862,0.16462128737770862
R118,10 kOhms,TopLayer,RES_0603_1608,58.7250,27.6250,180,RES SMD 10K OHM 1% 1/8W 0603,0.13915443327171037,0.13915443327171037,0.13915443327171037,0.13915443327171037,0.13915443327171037,0.13915443327171037
R117,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,75.4000,31.0929,0,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",0.0684990243650654,0.0684990243650654,0.0684990243650654,0.0684990243650654,0.0684990243650654,0.0684990243650654
R116,RC0603JR-070RL,TopLayer,RESC1608X55X25ML10T15,75.4000,29.4936,0,"Chip Resistor, 0 Ohm, +/- 5%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel",-0.025119581907820925,-0.025119581907820925,-0.025119581907820925,-0.025119581907820925,-0.025119581907820925,-0.025119581907820925
R114,PRG21BB220MB1RK,TopLayer,FP-PR_21-0_2-t1_25-MFG,17.9500,25.9500,0,PTC RESET FUSE 20V 44MA 0805,0.158833217355368,0.158833217355368,0.158833217355368,0.158833217355368,0.158833217355368,0.158833217355368
R113,1.5k,TopLayer,RESC1608X55X30ML15T15,133.1558,118.3390,0,ERJ-3EKF1501V,0.07126873920145008,0.07126873920145008,0.07126873920145008,0.07126873920145008,0.07126873920145008,0.07126873920145008
R112,1.5k,TopLayer,RESC1608X55X30ML15T15,126.8216,118.3390,0,ERJ-3EKF1501V,0.44208548018039023,0.44208548018039023,0.44208548018039023,0.44208548018039023,0.44208548018039023,0.44208548018039023
R111,1.5k,TopLayer,RESC1608X55X30ML15T15,114.3600,117.9580,0,ERJ-3EKF1501V,0.07302691235143932,0.07302691235143932,0.07302691235143932,0.07302691235143932,0.07302691235143932,0.07302691235143932
R110,1.5k,TopLayer,RESC1608X55X30ML15T15,108.6048,117.9580,0,ERJ-3EKF1501V,0.044601553440800454,0.044601553440800454,0.044601553440800454,0.044601553440800454,0.044601553440800454,0.044601553440800454
R109,4.7k,TopLayer,RESC1608X55X30NL15T15,136.3308,121.2720,90,ERJ-3EKF4701V,0.09571266525285275,0.09571266525285275,0.09571266525285275,0.09571266525285275,0.09571266525285275,0.09571266525285275
R108,4.7k,TopLayer,RESC1608X55X30NL15T15,130.2506,121.2600,90,ERJ-3EKF4701V,0.06172167118597118,0.06172167118597118,0.06172167118597118,0.06172167118597118,0.06172167118597118,0.06172167118597118
R107,4.7k,TopLayer,RESC1608X55X30NL15T15,117.5028,121.2767,90,ERJ-3EKF4701V,0.03363992403097419,0.03363992403097419,0.03363992403097419,0.03363992403097419,0.03363992403097419,0.03363992403097419
R106,4.7k,TopLayer,RESC1608X55X30NL15T15,111.4718,121.2720,90,ERJ-3EKF4701V,0.033386062170574236,0.033386062170574236,0.033386062170574236,0.033386062170574236,0.033386062170574236,0.033386062170574236
R105,1.5k,TopLayer,RESC1608X55X30ML15T15,102.8434,118.2120,0,ERJ-3EKF1501V,0.01974062181811549,0.01974062181811549,0.01974062181811549,0.01974062181811549,0.01974062181811549,0.01974062181811549
R103,4.7k,TopLayer,RESC1608X55X30NL15T15,105.6824,121.2720,90,ERJ-3EKF4701V,0.0393529024101899,0.0393529024101899,0.0393529024101899,0.0393529024101899,0.0393529024101899,0.0393529024101899
